,Event.Id,Aircraft.Category,Amateur.Built,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Location,Country,Weather.Condition,Incident.Severity,State,Year,Region,Number.of.Passengers,Aircraft.Size
5,20170710X52551,Airplane,No,Turbo Fan,0.0,0.0,1.0,44.0,1979-09-17,"BOSTON, MA",United States,Vmc,0,MA,1979,Northeast,45.0,Small
80,20020917X01765,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-01-12,"CLARKSBURG, WV",United States,Vmc,0,WV,1982,South,2.0,Personal
93,20020917X02538,Airplane,No,Turbo Prop,0.0,1.0,2.0,12.0,1982-01-15,"JAMAICA, NY",United States,Vmc,0,NY,1982,Northeast,15.0,Small
95,20020917X01625,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-01-15,"NEAR NUIQSUT, AK",United States,Vmc,0,AK,1982,West,4.0,Personal
103,20020917X01967,Airplane,No,Turbo Prop,0.0,0.0,3.0,0.0,1982-01-17,"DELTA, UT",United States,Vmc,0,UT,1982,West,3.0,Personal
118,20020917X01908,Airplane,No,Turbo Prop,3.0,0.0,0.0,0.0,1982-01-19,"ROCKPORT, TX",United States,Imc,1,TX,1982,South,3.0,Personal
119,20020917X01766,Airplane,No,Turbo Prop,0.0,0.0,0.0,1.0,1982-01-19,"WASHINGTON, DC",United States,Imc,0,DC,1982,South,1.0,Personal
129,20020917X02397,Airplane,No,Turbo Prop,0.0,0.0,0.0,6.0,1982-01-19,"MIAMI, FL",United States,Vmc,0,FL,1982,South,6.0,Personal
149,20020917X01767,Airplane,No,Turbo Fan,0.0,0.0,0.0,2.0,1982-01-22,"LOUISVILLE, KY",United States,Vmc,0,KY,1982,South,2.0,Personal
155,20020917X01909,Airplane,No,Turbo Fan,2.0,4.0,24.0,182.0,1982-01-23,"BOSTON, MA",United States,Imc,1,MA,1982,Northeast,212.0,Jumbo
191,20020917X01768,Airplane,No,Turbo Prop,0.0,0.0,0.0,2.0,1982-01-29,"ATLANTA, GA",United States,Vmc,0,GA,1982,South,2.0,Personal
214,20020917X02480,Airplane,No,Turbo Prop,0.0,5.0,2.0,0.0,1982-02-01,"GROTON, CT",United States,Imc,0,CT,1982,Northeast,7.0,Personal
221,20020917X01784,Airplane,No,Turbo Jet,0.0,0.0,0.0,4.0,1982-02-01,"ANDERSON, IN",United States,Vmc,0,IN,1982,Midwest,4.0,Personal
229,20020917X01923,Airplane,No,Turbo Prop,0.0,0.0,6.0,0.0,1982-02-03,"HAYDEN, CO",United States,Imc,0,CO,1982,West,6.0,Personal
230,20020917X01910,Airplane,No,Turbo Fan,0.0,1.0,0.0,154.0,1982-02-03,"PHILADELPHIA, PA",United States,Imc,0,PA,1982,Northeast,155.0,Large
279,20020917X01769,Airplane,No,Turbo Prop,0.0,0.0,0.0,10.0,1982-02-09,"BIRMINGHAM, AL",United States,Imc,0,AL,1982,South,10.0,Personal
294,20020917X02571,Airplane,No,Turbo Prop,0.0,0.0,0.0,7.0,1982-02-12,"JAMAICA, NY",United States,Vmc,0,NY,1982,Northeast,7.0,Personal
320,20020917X02336,Airplane,No,Turbo Jet,0.0,0.0,0.0,119.0,1982-02-15,"ONTARIO, CA",United States,Imc,0,CA,1982,West,119.0,Large
334,20020917X01727,Airplane,No,Turbo Prop,8.0,0.0,0.0,0.0,1982-02-16,"SPRINGFIELD, KY",United States,Imc,1,KY,1982,South,8.0,Personal
335,20020917X01807,Airplane,No,Turbo Prop,0.0,0.0,0.0,4.0,1982-02-16,"COLUMBUS, OH",United States,Imc,0,OH,1982,Midwest,4.0,Personal
336,20020917X01911,Airplane,No,Turbo Prop,0.0,0.0,3.0,36.0,1982-02-16,"KING SALMON, AK",United States,Vmc,0,AK,1982,West,39.0,Small
346,20020917X02630,Airplane,No,Turbo Prop,0.0,0.0,0.0,16.0,1982-02-18,"BOISE, ID",United States,Vmc,0,ID,1982,West,16.0,Small
351,20020917X02151,Airplane,No,Turbo Jet,0.0,0.0,0.0,83.0,1982-02-19,"HARLINGEN, TX",United States,Imc,0,TX,1982,South,83.0,Medium
377,20020917X01912,Airplane,No,Turbo Prop,1.0,10.0,1.0,0.0,1982-02-21,"PROVIDENCE, RI",United States,Vmc,1,RI,1982,Northeast,12.0,Small
